posx,posy,ang
566,340,15.33
567,342,8.82
567,342,5.52
567,345,2.13
566,344,0.94
566,342,0.27
566,342,0.19
566,339,0.06
566,336,0.04
567,333,-0.34
567,333,-0.83
568,331,-2.03
569,327,-8.14
571,325,-13.73
571,325,-16.68
573,324,-19.78
575,321,-25.44
575,321,-30.22
577,320,-37.09
580,319,-56.93
584,319,-80.63
589,318,-100.85
589,318,-110.59
596,319,-113.09
604,323,-112.42
612,326,-111.43
621,330,-110.68
621,330,-110.37
630,335,-97.50
639,340,-97.32
649,345,-102.93
660,349,-96.62
660,349,-85.99
669,355,-77.72
674,357,-88.91
674,357,-106.74
677,359,-120.57
680,361,-110.83
680,361,-91.44
683,363,-87.91
685,363,-80.46
686,364,-89.72
686,364,-104.84
686,364,-117.05
686,364,-107.00
686,364,-88.20
686,364,-72.16
685,364,-65.68
686,364,-66.64
686,364,-71.53
685,364,-75.41
685,364,-76.66
685,364,-92.16
685,364,-93.59
685,364,-86.24
684,364,-76.84
683,364,-67.26
683,364,-61.57
682,365,-73.49
686,366,-73.53
689,366,-62.89
694,368,-46.29
694,368,-33.17
694,368,-27.55
694,368,-28.64
715,364,-31.52
715,364,-34.23
715,364,-35.71
731,353,-25.41
735,347,-10.47
735,347,0.93
736,342,7.18
738,335,-7.82
740,327,-1.16
740,327,6.96
740,319,14.21
740,319,17.93
737,311,18.03
734,304,19.75
730,298,25.87
724,292,37.84
724,292,48.22
717,288,60.02
710,285,73.99
710,285,83.37
703,283,93.28
695,283,105.61
687,284,120.06
687,284,129.70
680,286,137.94
672,291,147.36
666,296,160.63
666,296,170.60
661,303,173.65
658,310,-162.19
656,317,-146.25
656,317,-134.36
655,326,-126.03
656,334,-119.50
658,340,-115.07
658,340,-113.72
661,346,-129.34
661,346,-148.33
663,349,-148.37
664,353,-140.31
665,354,-129.21
666,355,-125.17
667,357,-140.30
668,359,160.68
668,359,175.60
669,363,178.19
669,367,169.58
667,371,154.72
665,374,137.41
665,374,125.91
663,377,118.42
660,379,110.12
660,379,104.82
657,380,97.22
654,381,85.59
651,381,76.49
651,381,72.66
648,381,68.06
648,381,64.94
644,380,58.55
639,379,47.50
635,377,33.33
632,374,19.10
632,374,10.77
630,370,6.02
629,365,2.83
628,359,0.62
628,359,-0.08
628,359,0.38
636,317,0.49
640,308,0.35
641,297,0.12
641,297,-0.06
642,286,-0.14
644,274,-0.13
644,274,-0.07
647,263,-0.00
649,251,0.03
649,251,0.04
652,239,0.03
652,239,0.01
652,239,-0.01
663,191,-0.01
663,191,-0.01
667,178,-0.01
670,165,-0.00
672,152,0.00
672,152,0.00
672,152,0.00
675,125,0.00
675,125,-0.00
677,112,-0.00
679,99,-0.00
679,99,-0.00
681,85,0.00
684,72,0.00
684,72,0.00
686,60,0.00
686,60,0.00
686,60,-0.00
793,79,3.34
793,79,7.24
797,91,11.49
797,91,14.18
797,91,14.84
806,117,14.03
811,129,13.13
816,142,11.72
816,142,10.59
821,153,8.44
825,165,9.09
829,176,11.10
829,176,13.07
834,188,11.68
839,201,11.42
842,213,11.51
842,213,11.77
847,225,13.27
852,239,12.36
852,239,10.42
857,250,8.70
862,261,7.83
862,261,7.81
866,271,9.13
870,280,10.26
876,292,11.65
880,302,11.35
880,302,10.19
884,312,8.60
889,324,10.35
889,324,13.31
893,335,13.23
898,347,11.84
903,359,14.02
908,371,14.44
908,371,13.67
914,382,12.94
918,388,13.38
918,388,14.31
920,392,13.89
922,396,12.85
924,400,12.31
924,400,12.29
926,404,15.49
929,410,18.41
931,413,20.77
931,413,21.82
931,413,18.33
931,414,12.82
931,414,8.43
931,414,6.53
931,413,10.22
931,413,12.69
931,413,16.35
931,413,19.17
930,412,20.74
929,409,20.51
929,409,19.33
927,405,16.41
925,400,14.96
921,393,13.30
921,393,12.20
918,386,12.32
913,379,15.18
908,371,20.95
908,371,26.00
902,364,33.54
895,359,44.39
886,355,59.73
877,352,77.56
877,352,89.37
868,352,98.60
859,354,107.90
853,354,117.95
849,356,127.17
849,356,132.04
845,359,136.54
842,361,128.48
842,361,116.48
840,362,107.63
839,363,105.55
838,364,108.71
838,364,113.60
839,364,129.14
839,363,132.70
839,363,127.79
839,363,119.17
840,363,112.83
842,361,109.21
845,359,122.89
849,356,127.14
853,352,138.75
859,348,134.33
859,348,122.42
864,343,110.72
870,339,118.23
876,334,119.17
876,334,115.88
882,328,110.67
889,322,124.08
889,322,142.71
896,316,140.31
903,309,143.38
911,304,147.93
911,304,151.45
914,302,152.89
914,302,152.94
914,301,154.67
914,301,156.65
915,301,160.45
916,300,164.99
917,298,164.71
917,298,161.74
919,296,162.21
919,297,161.56
918,297,163.46
918,297,166.46
918,297,168.85
918,297,166.54
918,298,164.14
918,298,162.68
916,299,158.62
914,302,157.67
910,305,160.18
906,309,158.64
906,309,155.39
902,313,150.41
897,319,146.08
891,324,144.79
891,324,145.79
885,330,146.05
877,337,145.34
867,343,142.70
867,343,140.03
858,350,138.88
848,359,125.31
841,363,111.85
839,365,105.33
836,367,117.27
836,367,134.98
833,369,150.73
832,371,142.46
830,372,137.45
827,374,137.69
829,373,127.51
829,372,132.66
829,372,144.57
831,371,158.37
831,370,163.74
831,370,161.96
830,371,159.69
827,375,159.33
824,378,162.33
824,378,166.02
821,383,-153.12
819,389,-136.79
817,395,-124.44
817,395,-119.58
817,401,-118.18
817,408,-117.71
817,408,-117.97
819,415,-116.05
822,422,-109.90
825,430,-120.98
825,430,-137.47
831,437,-147.71
837,443,-148.36
837,443,-143.15
843,450,-135.88
850,455,-129.61
858,461,-126.54
858,461,-126.62
865,467,-130.16
871,473,-137.18
871,473,-143.27
878,479,-150.47
883,486,-158.64
885,488,-139.31
885,490,-117.48
886,493,-126.30
885,496,-149.70
885,496,-171.80
886,499,-168.45
886,501,167.57
886,501,168.49
884,507,169.65
882,514,-154.18
879,523,-135.49
879,523,-122.73
876,530,-120.01
873,539,-124.70
873,539,-131.73
870,549,-139.28
866,559,143.97
862,570,145.88
862,570,145.37
859,580,144.50
854,591,147.96
848,603,151.25
848,603,153.06
843,611,153.67
843,615,142.46
841,616,137.00
841,616,137.16
838,616,140.12
836,617,133.01
833,619,117.17
831,618,102.86
828,618,82.06
828,618,66.16
826,619,52.66
824,619,42.02
819,616,37.91
814,612,37.22
814,612,38.82
809,607,39.83
803,600,38.39
803,600,36.14
798,593,35.61
792,586,36.71
786,578,34.97
786,578,32.30
780,571,31.87
773,563,32.09
773,563,32.60
766,555,32.23
758,546,32.33
750,537,31.42
750,537,30.29
741,529,32.86
733,521,35.25
733,521,36.53
725,512,37.48
717,502,35.74
709,492,36.09
709,492,37.51
702,483,36.87
694,474,38.22
686,464,34.74
686,464,29.89
678,456,26.28
670,445,24.06
661,433,29.43
661,433,36.97
652,422,40.96
642,411,38.70
637,404,31.24
637,404,23.87
633,401,17.13
632,397,10.64
